Customer ID , Signup Date , Onboarding Start , Onboarding End , Support Tickets , Training Completed , Status
C001 , 2024-01-03, 2024-01-06 , 2024-01-10,1, Yes , Completed
C002 , 2024-01-05 , 2024-01-06 , 2024-01-20 ,4, No , Delayed
C003 , 2024-01-08 , 2024-01-09 , 2024-01-15 ,2, Yes , Completed
C004 , 2024-01-10 , 2024-01-11 , 2024-01-25 ,5, No , Delayed
C005 , 2024-01-12 , 2024-01-13 , 2024-01-18 ,1, Yes , Completed
C006 , 2024-01-15 , 2024-01-16 , 2024-01-28 ,3, No , In Progress
C007 , 2024-01-18 , 2024-01-19 , 2024-01-24 ,2, Yes , Completed
C008 , 2024-01-20 , 2024-01-21 , 2024-02-05 ,4, No , Delayed
C009 , 2024-01-22 , 2024-01-23 , 2024-01-29 ,1, Yes , Completed
C010 , 2024-01-25 , 2024-01-26 , 2024-02-08 ,3, No , In Progress
